input_filename,rider_id,timestamp,distance,speed,heart_rate,altitude,SensorHeading,SensorAccelerationX_HD,SensorAccelerationY_HD,SensorAccelerationZ_HD,position_lat,position_long,osm_uid,osm_name,osm_highway,osm_incline,osm_mtb:scale,osm_surface,osm_trail_visibility,osm_width,osm_sac_scale,osm_bicycle,osm_foot,osm_tracktype,trailforks_trailid,trailforks_title,trailforks_difficulty,trailforks_trailtype,trailforks_biketype,trailforks_physical_rating,trailforks_ttfs,trailforks_wet_weather,trailforks_season,trailforks_condition,trailforks_difficulty_votes,trailforks_difficulty_user_avg,trailforks_family_friendly,trailforks_amtb-rating,trailforks_activitytypes,gopro_AcclX,gopro_AcclY,gopro_AcclZ,gopro_Latitude,gopro_Longitude,gopro_Altitude,gopro_Speed,gopro_Speed3D,gopro_TS,gopro_GpsAccuracy,gopro_GpsFix,gopro_GyroX,gopro_GyroY,gopro_GyroZ
"dandlberg_m_1","1","964206900440.0","23.82","1.278","126.0","816.2","-1.8668357","492.0","512.0","-656.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900480.0","23.82","1.278","126.0","816.2","-1.8668357","780.0","-172.0","-596.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900520.0","23.82","1.278","126.0","816.2","-1.8668357","968.0","128.0","-332.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900560.0","23.82","1.278","126.0","816.2","-1.8668357","672.0","36.0","-576.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900600.0","23.82","1.278","126.0","816.2","-1.8668357","760.0","104.0","-724.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900640.0","23.82","1.278","126.0","816.2","-1.8668357","980.0","176.0","-656.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900680.0","23.82","1.278","126.0","816.2","-1.8668357","612.0","268.0","-756.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900720.0","23.82","1.278","126.0","816.2","-1.8668357","760.0","76.0","-820.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900760.0","23.82","1.278","126.0","816.2","-1.8668357","592.0","192.0","-568.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206900800.0","23.82","1.278","126.0","816.2","-1.8668357","768.0","192.0","-608.0","47.763745822012424","12.169093200936913","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
